# Ипотека по Удмуртии, помесячно. Источник: наш.дом.рф /portal-analytics/api/mortgage/dashboard/general (regionId=1219), снято 23.07.2026 через Chrome
# primary = первичный рынок (новостройки/ДДУ), ставки средневзвешенные, объём в млн ₽
month;primary_cnt;secondary_cnt;total_cnt;primary_mln;primary_rate
2021-01;404;995;1399;892;5.78
2021-02;529;1579;2108;1286;5.95
2021-03;559;1942;2501;1462;5.84
2021-04;643;1971;2614;1658;5.75
2021-05;547;1520;2067;1548;5.52
2021-06;793;1690;2483;2247;5.29
2021-07;507;1781;2288;1327;5.65
2021-08;453;1608;2061;1213;5.9
2021-09;606;1650;2256;1717;5.7
2021-10;639;1644;2283;1706;5.14
2021-11;738;1652;2390;2190;5.24
2021-12;1020;1871;2891;2842;4.83
2022-01;622;885;1507;1686;4.67
2022-02;871;1108;1979;2498;4.36
2022-03;1613;1367;2980;4255;5.09
2022-04;446;470;916;1245;5.37
2022-05;173;291;464;671;4.95
2022-06;255;640;895;1103;3.74
2022-07;329;1004;1333;1519;3.69
2022-08;420;1422;1842;1836;2.87
2022-09;582;1472;2054;2504;3.02
2022-10;572;1608;2180;2291;2.64
2022-11;653;1527;2180;2555;3.02
2022-12;1133;1809;2942;4251;2.87
2023-01;345;947;1292;1190;4.15
2023-02;520;1242;1762;1738;4.75
2023-03;731;1514;2245;2426;5.18
2023-04;610;1597;2207;2028;5.47
2023-05;662;1552;2214;2456;5.75
2023-06;678;1692;2370;2463;5.99
2023-07;794;1678;2472;2892;5.92
2023-08;1233;1965;3198;4474;5.62
2023-09;1619;1924;3543;6038;5.65
2023-10;1133;1841;2974;4102;6.02
2023-11;1358;1563;2921;4814;5.84
2023-12;1563;1560;3123;5808;6.05
2024-01;401;742;1143;1498;6.19
2024-02;367;953;1320;1399;6.64
2024-03;652;995;1647;2561;6.17
2024-04;752;1182;1934;2889;6.19
2024-05;1004;1294;2298;3910;5.83
2024-06;1759;1454;3213;6768;5.82
2024-07;375;1306;1681;1603;5.92
2024-08;473;1037;1510;2109;5.48
2024-09;477;920;1397;2226;6.02
2024-10;521;894;1415;2332;5.54
2024-11;492;609;1101;2108;5.86
2024-12;618;555;1173;2617;6.08
2025-01;222;257;479;939;5.99
2025-02;375;335;710;1684;5.95
2025-03;432;491;923;1970;5.84
2025-04;372;510;882;1863;5.86
2025-05;396;529;925;1826;5.57
2025-06;452;553;1005;2127;5.91
2025-07;455;593;1048;2228;5.73
2025-08;615;656;1271;3020;5.97
2025-09;591;649;1240;2917;6.29
2025-10;721;895;1616;3506;6.1
2025-11;807;820;1627;4054;6.1
2025-12;1333;1442;2775;6596;6.01
2026-01;731;637;1368;3547;6.09
2026-02;287;673;960;1370;7.41
2026-03;312;687;999;1420;7.08
2026-04;326;831;1157;1564;7.56
2026-05;299;716;1015;1483;6.99
