файл,лист,показатель,месяц,значение
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2021-01,6159
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2021-02,6701
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2021-03,7213
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2021-04,7473
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2021-05,7704
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2021-06,8141
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2021-07,8336
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2021-08,8418
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2021-09,8925
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2021-10,8927
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2021-11,9496
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2021-12,10228
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2022-01,8641
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2022-02,8077
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2022-03,8464
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2022-04,9582
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2022-05,9842
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2022-06,9425
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2022-07,9158
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2022-08,9148
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2022-09,9053
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2022-10,9076
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2022-11,9394
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2022-12,9492
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2023-01,8800
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2023-02,7856
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2023-03,8265
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2023-04,8716
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2023-05,8717
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2023-06,9424
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2023-07,9581
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2023-08,9166
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2023-09,10104
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2023-10,11214
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2023-11,11162
01_03_sales,01_03_01,"Количество действующих договоров участия в долевом строительстве согласно данным проектных деклараций, на дату, шт.",2023-12,12005
