month;total_m2;sold_m2;unsold_open_m2;not_open_m2;sold_pct
2020-01;970498;423374;313995;233130;43.6
2020-02;979203;419196;329433;230574;42.8
2020-03;987957;431489;339902;216565;43.7
2020-04;964166;424040;326194;213933;44.0
2020-05;968646;408853;314934;244860;42.2
2020-06;962252;444775;303152;214324;46.2
2020-07;968902;454410;314769;199723;46.9
2020-08;990413;475857;282520;232036;48.0
2020-09;971711;479329;272462;219920;49.3
2020-10;949101;491529;280663;176909;51.8
2020-11;996704;475843;259951;260910;47.7
2020-12;988252;499491;325576;163186;50.5
2021-01;1024451;425618;354661;244172;41.5
2021-02;1002261;437188;358423;206651;43.6
2021-03;1075881;461799;352941;261141;42.9
2021-04;1068228;482537;411394;174297;45.2
2021-05;1066269;499965;426437;139867;46.9
2021-06;1113638;512054;438334;163251;46.0
2021-07;1139125;520859;448006;170260;45.7
2021-08;1151048;518674;486422;145952;45.1
2021-09;1289351;536951;470006;282394;41.6
2021-10;1380759;536111;554801;289847;38.8
2021-11;1385390;543270;645246;196873;39.2
2021-12;1363049;560393;649427;153228;41.1
2022-01;1294026;460539;654415;179072;35.6
2022-02;1244634;410582;629771;204282;33.0
2022-03;1265407;427073;615857;222477;33.7
2022-04;1275078;477317;612249;185511;37.4
2022-05;1279253;487433;602402;189418;38.1
2022-06;1295663;467055;620326;208282;36.0
2022-07;1267227;445717;604425;217086;35.2
2022-08;1257089;450441;589992;216656;35.8
2022-09;1272422;447312;600026;225084;35.2
2022-10;1318602;451658;638974;227970;34.3
2022-11;1294401;445380;635341;213680;34.4
2022-12;1338294;452672;661899;223723;33.8
2023-01;1381417;415513;649240;316665;30.1
2023-02;1406310;360174;641922;404215;25.6
2023-03;1425671;375625;663523;386523;26.3
2023-04;1480762;427657;811486;241620;28.9
2023-05;1495438;429823;792985;272631;28.7
2023-06;1494514;467336;831788;195390;31.3
2023-07;1517758;480296;855794;181668;31.6
2023-08;1471616;450711;805689;215215;30.6
2023-09;1501684;491198;798019;212468;32.7
2023-10;1550669;540935;787819;221914;34.9
2023-11;1515680;544290;781812;189578;35.9
2023-12;1525845;569013;759077;197755;37.3
2024-01;1429184;542000;714990;172194;37.9
2024-02;1391044;511273;733681;146090;36.8
2024-03;1449534;531699;722263;195571;36.7
2024-04;1412263;516327;720855;175081;36.6
2024-05;1398130;505261;730577;162292;36.1
2024-06;1392160;541179;702066;148915;38.9
2024-07;1420611;603693;695794;121123;42.5
2024-08;1436686;608841;694011;133835;42.4
2024-09;1405436;573346;673248;158843;40.8
2024-10;1442869;597813;667591;177465;41.4
2024-11;1382967;568188;659811;154968;41.1
2024-12;1317112;522558;651914;142640;39.7
2025-01;1202582;458045;616462;128075;38.1
2025-02;1173482;458307;587100;128075;39.1
2025-03;1158876;464963;584369;109544;40.1
2025-04;1181545;429124;559933;192488;36.3
2025-05;1202575;397867;571745;232963;33.1
2025-06;1178466;394585;597790;186091;33.5
2025-07;1219054;404846;594471;219737;33.2
2025-08;1165589;386002;612562;167025;33.1
2025-09;1205681;399929;602877;202876;33.2
2025-10;1170207;378790;628311;163106;32.4
2025-11;1070224;308897;609325;152001;28.9
2025-12;1156331;328045;569761;258524;28.4
2026-01;1097737;308300;596285;193152;28.1
2026-02;1125338;344908;620069;160360;30.6
2026-03;1129410;359177;643212;127021;31.8
2026-04;1036774;297519;618173;121082;28.7
2026-05;1104765;307262;625950;171553;27.8
2026-06;1110397;322853;632084;155460;29.1
2026-07;1108972;322988;637244;148741;29.1
