"# ЕИСЖС/ДОМ.РФ, регион Удмуртия (place=18), собрано 2026-07-08"
Группа/застройщик,Домов,Квартир,Жилая площадь м²,Распроданность % (взвеш. по квартирам)
КОМОССТРОЙ,31,6571,313414,33.7
Железно,7,1685,94686,43.5
UDS,11,1332,77510,36.2
Федерация,12,1160,70546,42.8
Зардон-групп,5,1085,53100,30.0
Острова,3,989,55475,37.3
СЗ ДРГ - ТВЕРСКАЯ,1,673,26496,3.4
УК СТИМ,3,657,25336,20.9
РЕНТЕК,4,608,31794,12.0
Калинка Групп,2,583,24072,38.7
СЗ СИТИСТРОЙ,3,547,26986,21.9
Талан,1,485,23865,34.9
СЗ НАМУС,2,462,22259,24.3
СЗ ОЗОН,2,461,18591,38.4
СПЕЦЗАСТРОЙЩИК РАЗВИТИЕ,2,421,19375,6.1
СЗ АСПЭК-ВЕГА,2,420,20873,0.7
СЗ ЭЛЛИПССТРОЙ,1,401,17025,10.7
Символ Девелопмент,1,311,16118,2.8
ПЗСП,1,293,11154,64.6
Парус,2,282,14391,32.3
АСПЭК-Домстрой,2,270,15171,4.2
СЗ АИР-СТРОЙ,1,246,12625,42.8
СЗ СОЮЗ,2,227,9756,20.6
СЗ КАЛИНКА ПАРТНЕР,1,208,8084,19.3
АССО-Строй,1,177,8289,80.7
СЗ АСПЭК-М2,1,176,6036,56.1
СЗ ВЫСОТА,1,169,8199,20.5
Римский Квадрат,1,169,9966,9.6
СЗ СТРОИМ ВМЕСТЕ ГОРОД,1,162,8702,3.7
СЗ ТОР,1,160,6546,64.4
СЗ КВАРТАЛ,1,148,8233,22.5
"СЗ ДРГ-ДОМ.СТРОЙ, ООО СЗ ДРГ-ДОМ.СТРОЙ",1,144,6676,19.1
Литум,1,140,8134,66.9
СТРОЙ-ЦЕНТР,2,126,7095,28.6
СЗ СТС,2,72,3602,35.6
СЗ АИР-СТРОЙ ЗАВЬЯЛОВО,1,49,2202,22.3
СЗ ВР-ИНВЕСТ,1,22,1747,14.0
РЕГИОНСТРОЙ,1,20,714,
