# Введённые в эксплуатацию дома УР, ввод 2024-01..2026-07 (ЕИСЖС objStatus=2, собрано 22.07.2026 через Chrome)
objId,ЖК,Адрес,Застройщик,Группа,Квартир,Жил.площадь,Этажей,Дата ввода,Цена ₽/м² (посл.)
42243,ЖК Азбука дом 1,"г. Ижевск, ул Молодежная",СЗ ПАНОРАМА,Атлант,448,18817.71,18,2024-01-18,89971
38942,Истории. Жилой дом № 3,"г. Ижевск, улица Фруктовая",КОМОССТРОЙ РЕНУАР СЗ,КОМОССТРОЙ,169,7997.6,18,2024-01-22,97878
38941,Истории. Жилой дом № 2,"г. Ижевск, улица Фруктовая",КОМОССТРОЙ РЕНУАР СЗ,КОМОССТРОЙ,162,8519.7,15,2024-01-22,95429
38940,Истории. Жилой дом № 1,"г. Ижевск, улица Фруктовая",КОМОССТРОЙ РЕНУАР СЗ,КОМОССТРОЙ,160,7569.6,18,2024-01-22,97504
38844,"ЖК""Новая Тверская""","г. Ижевск, ул Тверская","СЗ ТВЕРСКАЯ, 51",,223,9942.47,20,2024-02-28,78960
1805,"ЖК ""Цветочный город"" 8-ой этап","г. Ижевск, район Индустриальный р-н",СЗ ВОСТОК,УК СТИМ,192,6756.4,8,2024-03-01,82126
40103,"""Новый город"", ""Пятый квартал""","г. Ижевск, ул Им В.С.Тарасова",ЛЕГЕНДА,Острова,362,25033.3,17,2024-03-07,104186
44763,"Жилой комплекс ""BershaCity"" Дом 1","г. Ижевск, ул архитектора П.П.Берша",СЗ АСПЭК-ЧАЙКОВСКИЙ,АСПЭК-Домстрой,404,19408.9,17,2024-03-27,100429
48053,"ЖД ""Старт""","г. Ижевск, ул Ракетная",СЗ СТРОИМ ВМЕСТЕ 18,,135,4316.87,18,2024-03-28,99182
42388,"Жилой комплекс ""Друзья""",г. Ижевск,СЗ РЕНТЕК К-5,РЕНТЕК,144,6116.1,18,2024-03-28,156250
42172,Кварталы ARTNOVA дом К1.2,"г. Ижевск, Ул Новаторов",СЗ АСПЭК-СТРОЙ,АСПЭК-Домстрой,68,4259,9,2024-03-29,89617
42171,Кварталы ARTNOVA дом К1.2,"г. Ижевск, Ул Новаторов",СЗ АСПЭК-СТРОЙ,АСПЭК-Домстрой,384,19802.2,18,2024-03-29,93444
45905,Березовая роща ,"г. Ижевск, район Индустриальный",СЗ - УКС АССО-СТРОЙ,АССО-Строй,183,8558,18,2024-04-27,93000
38768,ЖК «Первый дом на Красной»,"г. Ижевск, ул Красная",СЗ ИНДЕКОМ,UDS,72,4168.4,10,2024-05-17,135730
