# Источник: наш.дом.рф ЕИСЖС API /сервисы/api/kn/object + /сервисы/api/object/{id}, region place=18
# Собрано: 2026-07-08T06:56:30.529Z
# Всего домов: 118; с карточкой: 118
ID дома (objId),hobjId,№ разрешения (РС),ЖК,Адрес,Район/город,Застройщик,Группа компаний,ИНН застройщика,Этажность (мин),Этажность (макс),Материал стен,Класс жилья,Срок сдачи (план 100%),"Квартир, шт","Жилая площадь, м²","Распродано, %","Цена, ₽/м²",Цена на дату,Генподрядчик,Эскроу,Проблемный,Статус,Опубликован,Широта,Долгота,Есть карточка (1/0)
66998,148235,18-000756,"""Город-парк""",Село Октябрьский,Завьялово,СЗ ТАЛАН-РЕГИОН-46,Талан,1841106906,1,10,Монолит-кирпич,Комфорт,2027-12-31,485,23864.8,34.9,108349,2026-05-01,ООО Элитстрой (ИНН: 1831080198),да,нет,Строящиеся,2025-08-06,56.8492,53.3204,1
65444,146618,18-000747,"""Калинка Парк. Жилой Дом 4""","Город Ижевск, Улица Васнецова",Ижевск,СЗ КАЛИНКА СМАРТ 4,Калинка Групп,1840098459,16,18,Монолит-кирпич,Комфорт,2028-06-30,363,15368.15,36.6,132176,2026-06-01,ООО Альфастрой (ИНН: 1840096532),да,нет,Строящиеся,2025-04-17,56.8611,53.2737,1
52978,133689,18-000620,"""Экопарк ""Лесная гавань""",Село Октябрьский,Завьялово,СПЕЦСТРОЙ ПЗСП-ИЖЕВСК,ПЗСП,1831191525,11,11,Блоки,Комфорт,2026-09-30,293,11153.71,64.6,108163,2026-06-01,"ООО ""Спецстрой ПЗСП"" (ИНН: 5903135223)",да,нет,Строящиеся,2023-07-05,56.8386,53.3378,1
71347,152779,18-000779,«Город-парк. Квартал Исторический»,Село Октябрьский,Завьялово,ГРИНТАУН,Острова,1831121711,2,11,Монолит-кирпич,Комфорт,2029-06-30,390,20196.4,,,,ООО ЭЛИТСТРОЙ (ИНН: 1831080198),да,нет,Строящиеся,2026-04-13,56.8501,53.323,1
60191,140945,18-000712,"«Новый город», «Седьмой квартал»","город Ижевск, Улица Фруктовая",Ижевск,НОВЫЙ ГОРОД,Острова,1840044284,2,16,Монолит-кирпич,Комфорт,2027-06-30,284,15090.2,51.6,153348,2026-06-01,"ООО ""Морган"" (ИНН: 1831208440)",да,нет,Строящиеся,2024-06-11,56.8802,53.1943,1
68865,150263,18-000769,А14 (жилой дом №10),"Город Ижевск, Улица Камбарская",Ижевск,КОМОССТРОЙ КРАСНАЯ ГОРКА СЗ,КОМОССТРОЙ,1831194501,25,25,Монолит-кирпич,Комфорт,2030-06-30,261,12518.7,,,,"ООО ""ГЛАВСПЕЦСТРОЙ"" (ИНН: 1831128756)",да,нет,Строящиеся,2025-11-18,56.8382,53.3006,1
68861,150259,18-000769,А14 (жилой дом №6),"Город Ижевск, Улица Камбарская",Ижевск,КОМОССТРОЙ КРАСНАЯ ГОРКА СЗ,КОМОССТРОЙ,1831194501,18,18,Монолит-кирпич,Комфорт,2029-03-31,208,9147.7,9.4,125545,2026-06-01,"ООО ""ГЛАВСПЕЦСТРОЙ"" (ИНН: 1831128756)",да,нет,Строящиеся,2025-11-18,56.8384,53.3005,1
68862,150260,18-000769,А14 (жилой дом №7),"Город Ижевск, Улица Камбарская",Ижевск,КОМОССТРОЙ КРАСНАЯ ГОРКА СЗ,КОМОССТРОЙ,1831194501,18,18,Монолит-кирпич,Комфорт,2029-03-31,160,7755,5.6,127121,2026-06-01,"ООО ""ГЛАВСПЕЦСТРОЙ"" (ИНН: 1831128756)",да,нет,Строящиеся,2025-11-18,56.8384,53.3009,1
68863,150261,18-000769,А14 (жилой дом №8),"Город Ижевск, Улица Камбарская",Ижевск,КОМОССТРОЙ КРАСНАЯ ГОРКА СЗ,КОМОССТРОЙ,1831194501,11,11,Монолит-кирпич,Комфорт,2029-06-30,106,5013.5,,,,"ООО ""ГЛАВСПЕЦСТРОЙ"" (ИНН: 1831128756)",да,нет,Строящиеся,2025-11-18,56.8384,53.3009,1
68864,150262,18-000769,А14 (жилой дом №9),"Город Ижевск, Улица Камбарская",Ижевск,КОМОССТРОЙ КРАСНАЯ ГОРКА СЗ,КОМОССТРОЙ,1831194501,15,15,Монолит-кирпич,Комфорт,2029-06-30,154,7964.2,,,,"ООО ""ГЛАВСПЕЦСТРОЙ"" (ИНН: 1831128756)",да,нет,Строящиеся,2025-11-18,56.8384,53.3005,1
53896,134564,18-000626,"А14, дом 5","Город Ижевск, ул Камбарская",Ижевск,КОМОССТРОЙ КРАСНАЯ ГОРКА СЗ,КОМОССТРОЙ,1831194501,26,26,Монолит-кирпич,Комфорт,2026-09-30,261,12470.9,75.6,119666,2026-06-01,"ООО ""ГЛАВСПЕЦСТРОЙ"" (ИНН: 1831128756)",да,нет,Строящиеся,2023-08-28,56.8383,53.3029,1
65602,146776,18-000748,Город оружейников № 35,Село Первомайский,Завьялово,КС СЕЗАНН СЗ,КОМОССТРОЙ,1831191300,10,11,Монолит-кирпич,Комфорт,2028-09-30,232,9649.6,10.6,131726,2026-06-01,"ООО ""ГЛАВСПЕЦСТРОЙ"" (ИНН: 1831128756)",да,нет,Строящиеся,2025-04-28,56.8664,53.3207,1
65603,146777,18-000748,Город оружейников № 36,Село Первомайский,Завьялово,КС СЕЗАНН СЗ,КОМОССТРОЙ,1831191300,10,11,Монолит-кирпич,Комфорт,2028-09-30,243,10356.1,6.1,128674,2026-06-01,"ООО ""ГЛАВСПЕЦСТРОЙ"" (ИНН: 1831128756)",да,нет,Строящиеся,2025-04-28,56.8677,53.322,1
65604,146778,18-000748,Город оружейников № 37,Село Первомайский,Завьялово,КС СЕЗАНН СЗ,КОМОССТРОЙ,1831191300,10,11,Монолит-кирпич,Комфорт,2028-09-30,81,3770.9,4.6,107052,2026-06-01,"ООО ""ГЛАВСПЕЦСТРОЙ"" (ИНН: 1831128756)",да,нет,Строящиеся,2025-04-28,56.8665,53.3228,1
65100,146270,18-000740,Город оружейников. Жилой дом № 25,Село Первомайский,Завьялово,КС СЕЗАНН СЗ,КОМОССТРОЙ,1831191300,11,11,Монолит-кирпич,Комфорт,2027-06-30,81,3827.1,59.3,129536,2026-06-01,ООО ГЛАВСПЕЦСТРОЙ (ИНН: 1831128756),да,нет,Строящиеся,2025-03-27,56.8688,53.3186,1
65101,146271,18-000740,Город оружейников. Жилой дом № 26,Село Первомайский,Завьялово,КС СЕЗАНН СЗ,КОМОССТРОЙ,1831191300,11,11,Монолит-кирпич,Комфорт,2027-06-30,198,8429,57.8,138064,2026-06-01,ООО ГЛАВСПЕЦСТРОЙ (ИНН: 1831128756),да,нет,Строящиеся,2025-03-27,56.8682,53.3187,1
65102,146272,18-000740,Город оружейников. Жилой дом № 27,Село Первомайский,Завьялово,КС СЕЗАНН СЗ,КОМОССТРОЙ,1831191300,11,11,Монолит-кирпич,Комфорт,2027-06-30,81,3827.1,36.8,142675,2026-06-01,ООО ГЛАВСПЕЦСТРОЙ (ИНН: 1831128756),да,нет,Строящиеся,2025-03-27,56.8692,53.3188,1
65103,146273,18-000740,Город оружейников. Жилой дом № 28,Село Первомайский,Завьялово,КС СЕЗАНН СЗ,КОМОССТРОЙ,1831191300,11,11,Монолит-кирпич,Комфорт,2027-06-30,89,4194,58.7,145354,2026-06-01,ООО ГЛАВСПЕЦСТРОЙ (ИНН: 1831128756),да,нет,Строящиеся,2025-03-27,56.8683,53.3195,1
65104,146274,18-000740,Город оружейников. Жилой дом № 29,Село Первомайский,Завьялово,КС СЕЗАНН СЗ,КОМОССТРОЙ,1831191300,11,11,Монолит-кирпич,Комфорт,2027-06-30,81,3826.2,32.8,140822,2026-06-01,ООО ГЛАВСПЕЦСТРОЙ (ИНН: 1831128756),да,нет,Строящиеся,2025-03-27,56.8691,53.3198,1
65105,146275,18-000740,Город оружейников. Жилой дом № 30,Село Первомайский,Завьялово,КС СЕЗАНН СЗ,КОМОССТРОЙ,1831191300,11,11,Монолит-кирпич,Комфорт,2027-06-30,316,13025.2,30.4,139417,2026-06-01,ООО ГЛАВСПЕЦСТРОЙ (ИНН: 1831128756),да,нет,Строящиеся,2025-03-27,56.8685,53.3199,1
64643,145808,18-000716,ДОМ на Герцена,"Город Ижевск, Улица Герцена",Ижевск,СЗ ВОСТОЧНЫЙ КВАРТАЛ,Парус,1840070220,19,19,Монолит-кирпич,Комфорт,2027-12-31,115,5118.2,32.3,117436,2026-05-01,ООО СТРОИТЕЛЬНЫЕ ГОРИЗОНТЫ (ИНН: 1800017365),да,нет,Строящиеся,2025-02-24,56.8532,53.2523,1
61180,141994,18-000716,ДОМ на Герцена,"Город Ижевск, Улица Герцена",Ижевск,СЗ ВОСТОЧНЫЙ КВАРТАЛ,Парус,1840070220,1,18,Монолит-кирпич,Комфорт,2027-06-30,167,9272.6,32.3,108811,2026-05-01,ООО СТРОИТЕЛЬНЫЕ ГОРИЗОНТЫ (ИНН: 1800017365),да,нет,Строящиеся,2024-07-29,56.8532,53.2519,1
66142,147320,18-000751,ДОММ,"Город Ижевск, Улица Максима Горького",Ижевск,СЗ ВР-ИНВЕСТ,,1831201413,7,7,Монолит-кирпич,Элитный,2026-12-31,22,1746.6,14.0,281000,2025-10-01,"ООО ""ДОБРОСТРОЙ"" (ИНН: 1840009402)",да,нет,Строящиеся,2025-06-02,56.8549,53.1962,1
68560,149926,18-000764,Дом Природы,"Город Ижевск, Улица Якшур-Бодьинский тракт",Ижевск,СЗ КВАРТАЛ,,1831201942,18,18,Монолит-кирпич,Комфорт,2028-06-30,148,8232.56,22.5,146161,2026-05-01,ООО Премиум (ИНН: 1832157982),да,нет,Строящиеся,2025-10-27,56.8781,53.1703,1
70370,151800,18-000776,Дом на Песочной,"Город Ижевск, Улица Песочная",Ижевск,КС ВЫСОТА СЗ,КОМОССТРОЙ,1831157281,14,16,Другое,Бизнес,2029-12-31,194,10627.6,1.0,202482,2026-06-01,ООО СУ-18 (ИНН: 1831137937),да,нет,Строящиеся,2026-02-16,56.8715,53.1675,1
65159,146329,18-000741,Ежевика. Жилой дом № 10,"Город Ижевск, Улица Васнецова",Ижевск,КОМОССТРОЙ ОЛИМП СЗ,КОМОССТРОЙ,1831194100,15,17,Монолит-кирпич,Комфорт,2028-09-30,381,18414.9,15.9,142587,2026-06-01,ООО ГЛАВСПЕЦСТРОЙ (ИНН: 1831128756),да,нет,Строящиеся,2025-04-01,56.8689,53.2687,1
62999,143887,18-000725,"ЖД ""Гравитация""","Город Ижевск, Улица Серова",Ижевск,СЗ ЮЖНАЯ,Зардон-групп,1833055334,25,25,Монолит-кирпич,Комфорт,2027-06-30,265,12495.09,43.2,128802,2026-05-01,"ООО ""Профстрой"" (ИНН: 1800029843)",да,нет,Строящиеся,2024-10-29,56.8638,53.2404,1
66926,148153,18-000755,"ЖК ""Достоевский""",Город Воткинск,Воткинск,СЗ СТС,,1841085332,4,4,Кирпич,Типовой,2026-09-30,48,2403.52,34.1,114834,2026-06-01,"ООО Строительная компания ""ДомМастер"" (ИНН: 1840033941)",да,нет,Строящиеся,2025-08-01,57.0706,54.022,1
65006,146176,18-000739,"ЖК ""Достоевский""","Город Воткинск, Район Нефтяник",Воткинск,СЗ СТС,,1841085332,4,4,Кирпич,Типовой,2026-09-30,24,1198.67,38.6,137408,2026-04-01,"ООО Строительная компания ""ДомМастер"" (ИНН: 1840033941)",да,нет,Строящиеся,2025-03-20,57.0705,54.0227,1
71876,153309,18-000786,"ЖК ""Индустриальный""",Город Ижевск,Ижевск,РЕГИОНСТРОЙ,,1841078399,5,5,Монолит-кирпич,Типовой,2026-12-31,20,714.4,,,,,да,нет,Строящиеся,2026-05-26,56.888,53.2573,1
64962,146131,18-000738,"ЖК ""Истории"", Жилые дома№ 7,8",Город Ижевск,Ижевск,КОМОССТРОЙ РОДЕН СЗ,КОМОССТРОЙ,1831200339,1,18,Монолит-кирпич,Комфорт,2028-09-30,320,15587,29.5,162685,2026-06-01,"ООО ""ГЛАВСПЕЦСТРОЙ"" (ИНН: 1831128756)",да,нет,Строящиеся,2025-03-18,56.8746,53.1971,1
66148,147327,18-000752,"ЖК ""Локомотив""",Город Ижевск,Ижевск,СЗ СИТИСТРОЙ,,1800017654,2,19,Монолит-кирпич,Типовой,2027-06-30,186,9203.2,29.1,108333,2026-06-01,ООО Ижстройэксперт (ИНН: 1800035188),да,нет,Строящиеся,2025-06-02,56.7943,53.1763,1
66149,147328,18-000752,"ЖК ""Локомотив""",Город Ижевск,Ижевск,СЗ СИТИСТРОЙ,,1800017654,1,18,Монолит-кирпич,Типовой,2028-06-30,180,8919.8,14.4,110496,2026-06-01,,да,нет,Строящиеся,2025-06-02,56.7933,53.1761,1
66150,147329,18-000752,"ЖК ""Локомотив""",Город Ижевск,Ижевск,СЗ СИТИСТРОЙ,,1800017654,2,18,Монолит-кирпич,Типовой,2029-06-30,181,8862.5,,,,,да,нет,Строящиеся,2025-06-02,56.7937,53.176,1
68682,150048,18-000765,"ЖК ""Малиновка""","Город Ижевск, Улица Джамбула",Ижевск,СЗ ДРГ - ТВЕРСКАЯ,,1800033127,18,18,Монолит-кирпич,Типовой,2028-03-31,673,26496.42,3.4,124893,2026-05-01,"ООО СК ""Добрострой"" (ИНН: 1800001439)",да,нет,Строящиеся,2025-11-05,56.8485,53.1116,1
68274,149630,18-000762,"ЖК ""Министр""","Город Ижевск, Улица Комсомольская",Ижевск,СЗ ОРДЖОНИКИДЗЕ,Федерация,1800018601,1,18,Монолит-кирпич,Комфорт,2028-06-30,143,8619.1,44.5,136487,2026-06-01,"ООО ""ПС-Групп"" (ИНН: 1650274667)",да,нет,Строящиеся,2025-10-13,56.8308,53.229,1
