# Источник: https://erzrf.ru/top-zastroyshchikov/udmurtskaya-respublika (ТОП по объёму текущего строительства)
# Дата данных: 01.07.2026; собрано: 2026-07-08; показаны 20 из 38 застройщиков региона
# Колонки: место в регионе, изм. позиции, застройщик, регион головного офиса, строится м², с переносом срока м², % переноса, уточнение срока мес., место по РФ, организаций, ЖК, МД, БД, ДАП, доля в регионе %, рейтинг ЕРЗ (звёзд)
mesto_region,izmenenie,zastroyshchik,region_golovnogo_ofisa,stroitsya_m2,perenos_m2,perenos_pct,utochnenie_srok_mes,mesto_rf,organizaciy,zhk,md,bd,dap,dolya_v_regione_pct,reyting_erz
1,0,КОМОССТРОЙ®,Удмуртская Республика,321882,0,0,0,33,13,11,32,0,0,28.81,5
2,0,Железно,Кировская область,94685,0,0,0,42,2,4,7,0,0,8.48,5
3,0,UDS,Удмуртская Республика,77000,0,0,0,151,5,5,9,0,0,6.89,5
4,0,ГК Федерация,Удмуртская Республика,70544,0,0,0,175,5,5,4,8,0,6.31,4
5,0,ГК Острова,Удмуртская Республика,55475,0,0,0,406,3,2,3,0,0,4.97,4.5
6,0,ЗАРДОН-групп,Удмуртская Республика,53099,0,0,0,429,3,3,4,0,0,4.75,3.5
7,0,ГК РЕНТЕК,Удмуртская Республика,31794,9995,31.44,7.54,713,2,2,4,0,0,2.85,5
8,+6,ГК АСПЭК-Домстрой,Удмуртская Республика,29331,14162,48.28,3.64,309,2,2,4,0,0,2.63,4
9,0,СЗ Ситистрой,Удмуртская Республика,26986,0,0,0,820,1,1,3,0,0,2.42,
10,0,СЗ Дрг-Тверская,Удмуртская Республика,26496,0,0,0,833,1,1,1,0,0,2.37,
11,0,УК СТИМ,Удмуртская Республика,25525,0,0,0,857,2,2,3,0,0,2.28,2
12,0,ГК Калинка Групп,Удмуртская Республика,24072,0,0,0,895,2,2,2,0,0,2.15,5
13,0,Талан,Удмуртская Республика,23865,0,0,0,15,1,1,1,0,0,2.14,5
14,+7,СЗ Намус,Удмуртская Республика,22259,0,0,0,959,1,1,2,0,0,1.99,
15,0,СЗ Аспэк-Вега,Удмуртская Республика,21277,0,0,0,990,1,1,2,0,0,1.9,
16,0,Специализированный застройщик Развитие,Удмуртская Республика,19375,0,0,0,1075,1,1,2,0,0,1.73,3.5
17,-9,СЗ Озон,Удмуртская Республика,18155,0,0,0,1141,1,1,2,0,0,1.63,
18,-1,СЗ Эллипсстрой,Удмуртская Республика,17025,0,0,0,1187,1,1,1,0,0,1.52,
19,0,ГК СИМВОЛ Девелопмент,Удмуртская Республика,16118,0,0,0,378,1,1,1,0,0,1.44,5
20,0,ГК Парус,Удмуртская Республика,14391,0,0,0,1360,1,1,2,0,0,1.29,5
